persona_id,display_name,full_name,role,tenure,office,category_id,category_name,category_full_name,group_id,group_name,description,core_needs,motivations,frustrations,category_tag,quote
"data-disc-6","Gatekeeper Nicolas","","CCN, Capabilities & Insights","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Acts as a data search proxy for his busy CST colleagues; also discovers new data availability through his network. Technically moderate; uses the search tool on behalf of less technical or time-constrained colleagues. Needs specific data points and numbers for CST requests. Discovers data by asking colleagues; when a request comes in, he always searches Data World on their behalf. Systems: Data World.","Specific data points and numbers for CST requests | Discovers by asking colleagues; searches Data World on behalf of CSTs","Supporting CSTs | Proxy search | Network discovery","His clients (CSTs) are too busy to search for data themselves and need the final answer, not just a pointer to the source.","Data",""
"data-disc-7","Resourceful Joanna","","Analytics & Data Science","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Finds and requests access to data for analytics projects. Technically high; prefers community-driven channels for discovery and uses formal tools only when necessary. Needs data on specific topics (e.g., ""data on X, Y, Z""). Primary discovery channel is the ""ADS Consult"" Slack channel, which she finds more helpful than data catalogs; also reaches out to product teams directly. Uses Data World only at the final step to request access once she knows the exact table name. Systems: Slack, Data World.","Data on specific topics for analytics projects | ADS Consult Slack and product teams for discovery; Data World for access requests","Analytics delivery | Community discovery | Efficient access","Finds Data World not very helpful for the initial discovery phase of her work.","Data",""
"data-disc-8","Direct Gunjan","","McKinsey (API / Partner Capital)","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Accessing and working with data directly in the data warehouse. Technically high; comfortable with data warehouses and search using conceptual keywords. Needs core business data. Goes directly to Snowflake; also uses Data World, searching with core concept keywords rather than technical names. Systems: Snowflake, Data World.","Core business data | Direct use of Snowflake; Data World with conceptual keywords","Direct data access | Concept-based search | Warehouse fluency","Implied need for clear mapping between core concepts and technical data asset names.","Data",""
"data-disc-9","Collaborative Abhishek","","Senior Software Engineer","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Explores and integrates with APIs. Technically high; comfortable with APIs and reaching out to technical support teams. Needs information about available APIs that fit his use case. Previously asked colleagues; now reaches out directly to the Gateway API team via Slack for support and exploration. Systems: Slack.","Information about available APIs that fit his use case | Gateway API team via Slack for support and exploration","API integration | Direct support | Efficient discovery","Not knowing the correct, dedicated channel for support initially.","Data",""
"data-disc-10","Architect Adam","","Engineering Manager, Platform McKinsey","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Finding available APIs on the Firm Gateway for his engineering work. Technically high; prefers structured documentation over search-based discovery tools. Needs a list of available APIs, with documentation and Swagger files. Primary source is a Confluence page that lists all available APIs on the Firm Gateway. Systems: Confluence.","List of available APIs with documentation and Swagger files | Confluence page listing Firm Gateway APIs","Structured documentation | Gateway APIs | Engineering efficiency","Data World was not his discovery channel; he learned about data from other systems first and sees it only as a future option.","Data",""
"data-disc-11","Team-Player Danny","","Internal Audit Team","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Sourcing specific operational data from different regions (e.g., China travel data). Technically low; relies entirely on his personal and team network, being unaware of formal data teams. Needs specific, regional operational data for audits. First step is to ask in his team's Slack channel; if that fails, goes through his personal network and regional contacts to find the right person. Systems: Slack.","Specific, regional operational data for audits | Team Slack channel; then personal network and regional contacts","Audit compliance | Regional data | Network-based discovery","Was completely unaware that the EDW or data catalog teams existed, representing a significant gap in his knowledge of firm resources.","Data",""
"data-disc-12","Multichannel Lisa","","Senior Compliance Manager, SHaPE","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Finding data for compliance purposes, navigating both technical and organizational systems. Technically low to moderate; describes a ""lack of the technology component"" on her part. Needs data for compliance checks. Layered approach: first checks her own Snowflake role, then searches Data World (with limited success), then uses a product-specific Slack channel or reaches out to a POC in the ROCKS team. Systems: Snowflake, Data World, Slack.","Data needed for compliance checks | Snowflake role → Data World → product Slack or ROCKS POC","Compliance | Layered discovery | POC support","Has not been successful with Data World. | Was also unaware that an EDW team existed.","Data",""
"data-disc-13","Skeptical Sebastian","","Manager, Cell Ops","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Finding answers to operational questions (e.g., firm member counts). Technically moderate; uses search tools but finds them inefficient for broad questions. Needs specific operational metrics. First asks his team; if they don't know, he checks Data World. Systems: Data World, Slack.","Specific operational metrics | Asks team first; then Data World","Operational answers | Team-first | Targeted metrics","Finds that large, general Slack channels are inefficient and would prefer a more targeted way to reach the 2–3 people who actually know the answer. | Finds tools like Lily unhelpful.","Data",""
"data-disc-14","Methodical Sebastian","","EC&I (CNI Analyst)","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Finding data on both familiar and unfamiliar topics, including details on external data subscriptions. Technically moderate; follows a clear, escalating path from local team to firm-wide tools. Needs data on building materials, usage rights for external data (e.g., Euromonitor), and subscription details. Starts by talking to teammates; for unfamiliar topics, Know and Data World are his top two tools; uses Data World to check subscriptions, definitions, and usage rights for known external sources. Systems: Know, Data World.","Data on building materials, usage rights (e.g., Euromonitor), subscription details | Teammates → Know and Data World for unfamiliar topics; Data World for subscriptions and usage rights","Subscription clarity | Escalating discovery | Usage rights","The need to verify what data the firm has subscribed to and the specific usage rights associated with it.","Data",""
"data-disc-15","Portal-Driven Basia","","Client Capabilities Risk / Technology Risk","","","data","Data Persona","Data Personas","data-discovery","Data Discovery & Usage","Gathers information to understand products and cross-check them against firm risk policies. Technically moderate; relies on structured information repositories and portals. Needs product information and firm policies. Uses three main channels: a product portal (to understand the product), shared SharePoint folders from other teams, and the Firm Risk Intranet portal (to check policies). Systems: Product Portals, SharePoint, Firm Risk Intranet.","Product information and firm policies | Product portal, shared SharePoint folders, Firm Risk Intranet portal","Risk alignment | Structured repositories | Policy compliance","Data and information are scattered across different portals and shared folders.","Data",""
